,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
70,0.15000000000000002,500.0,0.17363877822045154,0.20464129464588843,0.2582450756889866,0.3571265229427924,0.12328028941384372
71,0.15000000000000002,1000.0,0.1689907038512616,0.19673733227198287,0.21711180583680012,0.308918717694592,0.11970472081970451
72,0.15000000000000002,500.0,0.18227091633466136,0.26494770713379195,0.30922096979923464,0.46241573348929976,0.13578986496707235
73,0.15000000000000002,1000.0,0.17689243027888446,0.2739208898879129,0.3782164463391047,0.5289870410248647,0.1259946524738892
74,0.15000000000000002,500.0,0.18067729083665338,0.2786311523876042,0.49300345985579075,0.6378056691665926,0.11529905865158119
75,0.15000000000000002,1000.0,0.17237715803452855,0.23632973871509932,0.3031523701754376,0.42479111366662914,0.12291827939186084
76,0.15000000000000002,500.0,0.17609561752988048,0.19607214612808246,0.13202688599840856,0.23684289301315925,0.13508319620969267
77,0.15000000000000002,1000.0,0.17224435590969456,0.20313815168599042,0.17168356228625808,0.27588375957611844,0.12815884936377253
78,0.15000000000000002,500.0,0.18220451527224435,0.16904530071895907,0.1189586045419676,0.20151814417798292,0.12813899066583023
79,0.15000000000000002,1000.0,0.1745019920318725,0.17490991522923627,0.1407070855356093,0.2249859627769496,0.12969703590478665
80,0.2,500.0,0.18127490039840638,0.1448492625532697,0.08473247951761942,0.1508758455805121,0.13219694508634727
81,0.2,1000.0,0.1689907038512616,0.16384390654207892,0.1171861210486842,0.18848068236193605,0.12121518542076293
82,0.2,500.0,0.18167330677290836,0.1812102175367909,0.13336695891985328,0.22679999128388606,0.13278825286204454
83,0.2,1000.0,0.17065073041168657,0.1689918226495511,0.1114368312130744,0.18819593358091985,0.12216850321844308
84,0.2,500.0,0.18618857901726427,0.17951837682786023,0.09200691628428509,0.18551769511773664,0.12710393125793362
85,0.2,1000.0,0.17569721115537848,0.1805732949336991,0.10486955995226915,0.19519496235907952,0.12724165834891454
86,0.2,500.0,0.1800796812749004,0.13844376932449398,0.022942322598850373,0.08238572605346817,0.12105814123269276
87,0.2,1000.0,0.17250996015936254,0.1921211478463814,0.1202552650414046,0.21865463174200173,0.1285530545475706
88,0.2,500.0,0.18134130146082336,0.23033098772690344,0.2921524621412263,0.4156668228187664,0.13078503178123835
89,0.2,1000.0,0.17224435590969456,0.16978917946086686,0.12711728379899823,0.2051222962830097,0.12453373432123205
90,0.2,500.0,0.17662682602921648,0.19629215643013306,0.23451904462968348,0.3303657574355365,0.12680881897093788
91,0.2,1000.0,0.16733067729083664,0.1443192960889939,0.03794131440247078,0.09815798712628232,0.12328279682519994
92,0.2,500.0,0.17343957503320054,0.15694280841425468,0.0830291131699008,0.15418915866928484,0.12630765764832375
93,0.2,1000.0,0.17098273572377157,0.2001622957104149,0.17770589340765242,0.2768165157517517,0.12356753845882573
94,0.2,500.0,0.17808764940239044,0.17450086617020857,0.15047887899986917,0.23584397799354406,0.13169578376373314
95,0.2,1000.0,0.1703851261620186,0.19653772226872748,0.17784184283446558,0.2751805536537849,0.1269098776782438
96,0.2,500.0,0.1749667994687915,0.18599774842483918,0.21683819333493648,0.3038579941676235,0.12464712949241108
97,0.2,1000.0,0.17250996015936254,0.14448562772872803,0.022056366460248222,0.08415953825398637,0.12130282446248974
98,0.2,500.0,0.17775564409030545,0.2161821669253546,0.2600181303983489,0.3709569668706469,0.1266716334808099
99,0.2,1000.0,0.17071713147410358,0.21910901805338184,0.2900618112919137,0.39582165782326745,0.11803775363142877
100,0.25,500.0,0.17158034528552457,0.20363843039980717,0.24708694080087923,0.344361409174979,0.12143357092025464
101,0.25,1000.0,0.16633466135458166,0.1939947056711286,0.20945351186501482,0.29621555627463725,0.11395011146045253
102,0.25,500.0,0.17669322709163346,0.1271679805736199,0.043757436519329174,0.09689996716821969,0.1335534145115449
103,0.25,1000.0,0.16792828685258965,0.13931500450401285,0.05623508055003534,0.11086960921239236,0.12175301512705228
104,0.25,500.0,0.18167330677290836,0.23559392380811353,0.3957813407698051,0.5131901781178979,0.11979825729294136
105,0.25,1000.0,0.16792828685258965,0.19798237233650479,0.2411782816792154,0.330997610946133,0.11661743548345327
106,0.25,500.0,0.17204515272244356,0.19420272051725046,0.19204513063997336,0.28696229459560885,0.12635273087486532
107,0.25,1000.0,0.1750996015936255,0.21232328090724004,0.2339746757063515,0.34164357171697435,0.12484423208431017
