,p,checkpoint,test_error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.4,500,0.1797476759628154,0.16760566547389444,0.18894446506486612,0.106913942299179,0.1299302652795078
1,0.4,1000,0.17257636122177955,0.17150318568618753,0.21191087571062855,0.1325032802083339,0.12502649080097972
0,0.45,500,0.18811420982735724,0.18306696567580524,0.30442111361322916,0.2103606029985417,0.13630587016491602
1,0.45,1000,0.1745683930942895,0.2088398245766873,0.3447867066658312,0.24165581832129873,0.12224326419544351
0,0.45,500,0.18107569721115538,0.19150374293328734,0.3284872245331574,0.23531417741171712,0.12646361863468802
1,0.45,1000,0.16885790172642762,0.21731130440734112,0.36908066643645815,0.2628365105323677,0.1204138969884404
0,0.45,500,0.17768924302788844,0.13874016540610404,0.2011249754852833,0.14850018650204977,0.12325006006253159
1,0.45,1000,0.17264276228419656,0.14831394338758616,0.16631716945265568,0.1033678328804542,0.1269375996181995
0,0.45,500,0.17656042496679947,0.16619625958014178,0.19509973870924002,0.11650408905030185,0.1282207322760469
1,0.45,1000,0.17622841965471447,0.1821442182373817,0.21621331100867935,0.12434517216738228,0.13014471915799286
0,0.45,500,0.18824701195219123,0.13105567173339616,0.19193438346220248,0.13584089575820651,0.13680506567702688
1,0.45,1000,0.17430278884462153,0.15331037173055376,0.1949805312879208,0.12859330614725606,0.12758882449566789
0,0.45,500,0.17755644090305445,0.18473732288423478,0.25070578431532725,0.15656975605074908,0.13392830259825383
1,0.45,1000,0.17377158034528553,0.15168400454695982,0.17518746852325107,0.10886750128952033,0.12831087872912994
0,0.45,500,0.17822045152722443,0.17110450728052967,0.20364696971947682,0.119799434610325,0.13038242175457382
1,0.45,1000,0.1697211155378486,0.15637332514700303,0.16207836347759902,0.0934600899893811,0.1256222717985367
0,0.45,500,0.1792164674634794,0.14678023006843166,0.18326197781876535,0.11879809282375531,0.13065231951297007
1,0.45,1000,0.17642762284196548,0.12023272147347687,0.07063714345299804,0.02230427423855469,0.13285711640753506
0,0.45,500,0.17895086321381143,0.1714287657171314,0.15581003195760446,0.07044008200378038,0.12602881344620798
1,0.45,1000,0.1693891102257636,0.18381762445802052,0.23111209805155608,0.14457136231036344,0.12210858611667197
0,0.45,500,0.18592297476759628,0.2445585011264596,0.41119482135323215,0.26772269287253714,0.14392902252620254
1,0.45,1000,0.18180610889774237,0.2544383036491601,0.3786000495422739,0.22654486816618497,0.14265232890071822
0,0.5,500,0.17569721115537848,0.11233411493022846,0.01633271592742347,0.021873577314953097,0.11848096366277516
1,0.5,1000,0.1752988047808765,0.13915186229152404,0.055670471055842885,0.0007402960384450541,0.10943105412115017
0,0.5,500,0.17569721115537848,0.17865987929803154,0.2845896332553634,0.2024298389570508,0.12482491498722093
1,0.5,1000,0.17231075697211157,0.13479845457606687,0.08298104069464507,0.02673691101196074,0.12704902897887516
0,0.5,500,0.17297476759628155,0.19779706460762594,0.26168970171238237,0.16066137682496395,0.1289408206990057
1,0.5,1000,0.17250996015936254,0.21868261770776826,0.38193924604380286,0.2727219759963579,0.12341747490397159
0,0.5,500,0.17290836653386454,0.17520611071793785,0.25942462507330855,0.1796360325387527,0.12491506144030406
1,0.5,1000,0.17284196547144753,0.15360744982805277,0.14659905924461558,0.07566556669490376,0.13176464730922366
0,0.5,500,0.17742363877822045,0.19353163694183997,0.2735043573812139,0.1757963180553977,0.12799143452233241
1,0.5,1000,0.1750996015936255,0.1865434413731419,0.2704329110050557,0.17984109911113072,0.12695888252579202
0,0.5,500,0.17656042496679947,0.17010076042565092,0.25733002337613997,0.18020382132132567,0.1258039889143533
1,0.5,1000,0.17231075697211157,0.15390059630454506,0.15137954405967508,0.08407443859455715,0.1240280997767581
0,0.5,500,0.17768924302788844,0.22512261291680724,0.38653616391264717,0.2671314842307233,0.13050029014761244
1,0.5,1000,0.17217795484727755,0.20244937581604955,0.3376432479539777,0.23999643561166673,0.1232268113444357
0,0.5,500,0.18426294820717132,0.20576541730516223,0.3327603234749213,0.223383758384738,0.13330873128174792
1,0.5,1000,0.17397078353253653,0.2204644042768735,0.3537310221544905,0.24006555275723146,0.12498141757443815
0,0.5,500,0.17735723771580345,0.1677431919719669,0.13184725439989942,0.05139630914442683,0.12003846730087853
1,0.5,1000,0.17357237715803453,0.17048242855266738,0.1764075649972201,0.0965972086955082,0.12227545935725903
0,0.5,500,0.17636122177954847,0.19276111946168245,0.3074383054056934,0.21352057034783056,0.1264146137871398
1,0.5,1000,0.17211155378486057,0.194026900832944,0.2695791057612564,0.1720919817827768,0.1300763972133553
0,0.55,500,0.17822045152722443,0.20163181929884716,0.3768222552986595,0.2778566373309129,0.12856986423330352
1,0.55,1000,0.17423638778220452,0.187831588853702,0.30763371809325263,0.22024721089469002,0.12295887939654271
0,0.55,500,0.17848605577689244,0.15698645743114584,0.1928106626473327,0.12027582882025029,0.130776626938372
1,0.55,1000,0.1702523240371846,0.16687127477655905,0.1954422961233252,0.12002677860978578,0.12459812464486286
0,0.55,500,0.17370517928286852,0.1894974728402718,0.26690577212010397,0.17559182269909884,0.12337884070979321
1,0.55,1000,0.16925630810092962,0.18771907629132034,0.2356630875175224,0.14468503431009377,0.1252345056471016
0,0.55,500,0.17104913678618858,0.18518588874623834,0.21486420051078048,0.12702760287458775,0.1188326030313881
1,0.55,1000,0.1703851261620186,0.18548011842443657,0.2360939706431825,0.14795753122695493,0.12237848387506833
0,0.55,500,0.17098273572377157,0.14110682071854347,0.14535866932863045,0.08823232043394141,0.12628637474073123
1,0.55,1000,0.16872509960159363,0.1785414693041398,0.2367645632598152,0.15407011448883873,0.12505028111992866
0,0.55,500,0.1853917662682603,0.1096421179794814,0.0325871860280782,0.013670914419835867,0.13679666083416042
1,0.55,1000,0.1745019920318725,0.1523035758634657,0.19009456827984472,0.12275262173899881,0.13090540758563352
0,0.55,500,0.17855245683930943,0.12363979202447009,0.03706691938969653,0.013714898057922364,0.12543750567051082
1,0.55,1000,0.16885790172642762,0.17778471249750588,0.21891905670985623,0.1365943297664698,0.1231327332703459
0,0.55,500,0.17609561752988048,0.18499969840856206,0.2142717896233834,0.12114122118000675,0.1272287802841885
1,0.55,1000,0.17237715803452855,0.17322308934301833,0.1891805611216365,0.10616450680346912,0.12684548735461298
0,0.55,500,0.17343957503320054,0.1727457183393531,0.2174225358800304,0.1374802859050719,0.12389091428663013
1,0.55,1000,0.16819389110225763,0.1788385474016388,0.22371961463160606,0.14329869288624636,0.11791791942788654
0,0.55,500,0.1748339973439575,0.16374874526628316,0.1589234803488272,0.0830296843859798,0.12324165521966512
1,0.55,1000,0.17118193891102257,0.1901551367501032,0.2612587798354857,0.17034234693265532,0.1223527277456159
0,0.6,500,0.17868525896414342,0.19376683212706455,0.2596359757497423,0.16095669553783137,0.12684297994325666
1,0.6,1000,0.17775564409030545,0.19227622622394824,0.27924040049095267,0.1837048046698057,0.12606744764038658
0,0.6,500,0.1800796812749004,0.12556879372912869,0.07363018977105984,0.021350343386545956,0.12891255715819705
1,0.6,1000,0.17350597609561752,0.13873460898253842,0.1121360563509955,0.05266669370422772,0.12972923106660206
0,0.6,500,0.17868525896414342,0.1490978805333228,0.15332812344396068,0.08316449138063498,0.13530158170918438
1,0.6,1000,0.17284196547144753,0.18496553743624328,0.22037117980956245,0.13034522586169373,0.1236081384635076
0,0.6,500,0.18233731739707834,0.1555541438272417,0.16903521424657747,0.09832342368638863,0.12320051361413031
1,0.6,1000,0.17377158034528553,0.16327137426261795,0.17081901312759906,0.09618764676683134,0.12377948492595447
0,0.6,500,0.1749003984063745,0.1817916962599713,0.27646791881726407,0.19215823142362465,0.12303811359540295
1,0.6,1000,0.16679946879150068,0.1915200110181673,0.26763607845314574,0.17881919354571524,0.11917136433527498
0,0.6,500,0.18127490039840638,0.21561607367825675,0.33548973856078806,0.21831650054751056,0.13431159552782923
1,0.6,1000,0.17636122177954847,0.19917929016227587,0.29884404055600056,0.19884031711631844,0.1264146137871398
