,C,checkpoint,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
1,0.35,1000,0.17762284196547146,0.16696284543929255,0.17202660203097614,0.08950613229021664,0.13161011053250982
0,0.35,500,0.1857901726427623,0.16738727997440273,0.2008200563586256,0.11582205705191956,0.13406494648752898
1,0.35,1000,0.17270916334661354,0.17728944860640183,0.21084437392695815,0.12689051101561644,0.12371312879182028
0,0.35,500,0.18625498007968128,0.18199022306152077,0.245753777179553,0.15063824828592332,0.1341506197187523
1,0.35,1000,0.1752324037184595,0.19028730741751854,0.2226949639738831,0.12475473409605914,0.12957272847938484
0,0.35,500,0.18100929614873837,0.1993901534276985,0.2586357418334656,0.15470759163305542,0.1257608814983151
1,0.35,1000,0.16945551128818062,0.19744989846087269,0.2821279774246866,0.18934156493784315,0.11646737192859913
0,0.35,500,0.17788844621513944,0.16564162018811965,0.2111493749636913,0.13388905041610233,0.12747292191313242
1,0.35,1000,0.17343957503320054,0.12019354567844544,0.06574920129605549,0.023054852166422668,0.12177626384514817
0,0.35,500,0.18339973439575033,0.18398056607760088,0.2531769187877824,0.15922876689871368,0.13081919275355713
1,0.35,1000,0.17815405046480745,0.17688039954737417,0.2087999708091089,0.1195269645406195,0.1320964279798944
0,0.35,500,0.17742363877822045,0.18393298543970296,0.24057321294448836,0.15184351421271286,0.12194957611809842
1,0.35,1000,0.17377158034528553,0.157159228103243,0.1706659661235509,0.10225510395847032,0.12166483448447252
0,0.4,500,0.18220451527224435,0.20835689714945643,0.31684422570947246,0.20843103508352034,0.12542015438392495
1,0.4,1000,0.17742363877822045,0.18902993088912343,0.243594016237708,0.1483665219395528,0.12708515576169732
0,0.4,500,0.18273572377158034,0.1411994745829829,0.17073436091445915,0.10591202929653026,0.13799018863977763
1,0.4,1000,0.17264276228419656,0.1263255505357626,0.06629913479200683,0.014055342841034602,0.1320731792617985
0,0.4,500,0.1801460823373174,0.19351753526037188,0.4587732200958848,0.37737161775819394,0.11451064828398483
1,0.4,1000,0.17735723771580345,0.15912150817142293,0.24878884904250803,0.1781348766830168,0.13091381242849986
0,0.4,500,0.18253652058432934,0.20094087702549443,0.30796478448053866,0.1992487366128372,0.13920499935298758
1,0.4,1000,0.17636122177954847,0.1958949022341256,0.28064574582941604,0.18118231446473343,0.12913345006904509
0,0.4,500,0.18260292164674635,0.1549560560112369,0.2052971181201757,0.1303880670676223,0.13869936480851375
1,0.4,1000,0.17961487383798141,0.19115406937517776,0.2851716762090102,0.18752224172607795,0.1324519989695142
0,0.4,500,0.1841965471447543,0.17446724679874281,0.28211465896358073,0.19724776668793498,0.13230390122516333
1,0.4,1000,0.1741699867197875,0.22463880288077892,0.4107012929990899,0.2972202911945328,0.12406869978143997
0,0.4,500,0.18200531208499335,0.14052839100757236,0.15837982436642284,0.09584491711940302,0.13297891642158055
1,0.4,1000,0.17324037184594954,0.14735757657769682,0.12640817460190107,0.061530253602802565,0.12722037544132192
0,0.4,500,0.1752324037184595,0.17972605066603767,0.24465832766970147,0.1582742648306259,0.1271559851176911
1,0.4,1000,0.17131474103585656,0.17390955839451133,0.23644150891736382,0.15729691411937613,0.12406029493857351
0,0.4,500,0.1853917662682603,0.20931380556019874,0.34683283460999054,0.23145104306912112,0.14102596171712434
1,0.4,1000,0.17749003984063744,0.24230863100535302,0.40553240495654896,0.2725865977856237,0.13020463625976386
0,0.4,500,0.1848605577689243,0.17301900611790316,0.20707322307000037,0.12209515203201554,0.12452871949851929
1,0.4,1000,0.1741699867197875,0.17208554701816536,0.20444864336318536,0.12409497952475962,0.12376660686122831
0,0.45,500,0.17675962815405047,0.1683282613082096,0.20365740878207406,0.12207173217277456,0.1318394082862243
1,0.45,1000,0.1693891102257636,0.1787394545048363,0.18330344854866176,0.09718841733732198,0.12452532947836559
0,0.45,500,0.1797476759628154,0.21706268955653746,0.3742017144400167,0.2613816231790345,0.1281177077582376
1,0.45,1000,0.17131474103585656,0.18546527454920708,0.237452463475471,0.14782101058406272,0.12526866661942038
0,0.45,500,0.16978751660026561,0.21784411929091774,0.3335002177565387,0.22277141474799944,0.12390826557321599
1,0.45,1000,0.17031872509960158,0.18348780959785316,0.23273638771777239,0.1453893437355589,0.12409249010038892
0,0.45,500,0.18339973439575033,0.1550828708479951,0.24682265308324408,0.17713467732860516,0.13172547151419223
1,0.45,1000,0.1745683930942895,0.17112294176882145,0.2657815981951685,0.18906681000382142,0.12556628631777234
0,0.45,500,0.18625498007968128,0.15527245120582517,0.2101462939534982,0.13775161354261928,0.13022341175600016
1,0.45,1000,0.18160690571049137,0.1743051877879599,0.2145560666831965,0.1270944351558363,0.13117923696503653
0,0.45,500,0.18286852589641434,0.2350587419282166,0.31525207003266453,0.1821391013971374,0.1282182248646906
1,0.45,1000,0.17343957503320054,0.1709320776163769,0.16583262359162299,0.08512090645137149,0.12207835676535994
0,0.45,500,0.17224435590969456,0.19842056754513857,0.27288876648680066,0.17366054113584029,0.1257421060020788
1,0.45,1000,0.16812749003984065,0.21271497867968187,0.3064086755705129,0.1987957622621528,0.12446541237659448
0,0.45,500,0.17908366533864542,0.2558849195274408,0.425855173711397,0.2809274949718704,0.13226777444234117
1,0.45,1000,0.1750996015936255,0.20107948672527282,0.2772886667520114,0.172251351068831,0.13209446216939102
0,0.45,500,0.18074369189907039,0.1486230169410139,0.20298448932330881,0.13713755625764357,0.13171062763896269
1,0.45,1000,0.1699203187250996,0.1896366241409032,0.24737852653170378,0.1554570271287652,0.12470955400553851
0,0.45,500,0.17749003984063744,0.1627217496933085,0.23787703384766107,0.1685001750777282,0.11932929113214252
1,0.45,1000,0.1661354581673307,0.17429088551358335,0.23787719361713744,0.16284227981476607,0.11818585137577953
0,0.5,500,0.17915006640106243,0.14088843521905176,0.1735807026020122,0.11529825190743331,0.1269286531744801
1,0.5,1000,0.17649402390438246,0.1681787393542084,0.24145514151776293,0.16522767816086703,0.12540334469819203
0,0.5,500,0.17270916334661354,0.1674502460883831,0.22411990819110078,0.14856987486369355,0.12582777923330224
1,0.5,1000,0.17118193891102257,0.14534737486367455,0.10175381652788096,0.0399639905383769,0.1223527277456159
0,0.5,500,0.17191235059760956,0.1531121859369487,0.14483848123308335,0.07741577276110434,0.12524934952233102
1,0.5,1000,0.1700531208499336,0.1417059917362542,0.12276530692066695,0.06573440394458979,0.12248991323574387
0,0.5,500,0.17357237715803453,0.1701744382009456,0.1836206604270158,0.1021191545316571,0.1277131319210696
1,0.5,1000,0.17330677290836655,0.15786786267112607,0.13506991350313424,0.06207633617437175,0.12611055505642466
0,0.5,500,0.17709163346613546,0.1825607895304784,0.2920453367033821,0.2086343880076611,0.11994635503729212
1,0.5,1000,0.17277556440903055,0.18353986345761072,0.26554624465760607,0.1787729250433125,0.1253221446888284
0,0.5,500,0.17589641434262948,0.16041982571244431,0.1610100017028736,0.0860062913738946,0.12723521931655157
1,0.5,1000,0.17317397078353253,0.17388468487385644,0.17177027355921415,0.08646155058889521,0.12772600998579575
0,0.5,500,0.18220451527224435,0.20664146671448536,0.3310197190752036,0.2232249603147629,0.1293473623466771
1,0.5,1000,0.17370517928286852,0.15987162535278526,0.1692003615653344,0.09655094019310528,0.12579558407148683
0,0.5,500,0.17277556440903055,0.18109343234545805,0.27992805243519986,0.19774872318925935,0.12169702964628792
1,0.5,1000,0.17184594953519255,0.19781048427320508,0.30637302620994783,0.21183948142719478,0.1212235902636295
0,0.5,500,0.18293492695883135,0.17989936293898778,0.2482039774024919,0.15781957683170428,0.13043142660212204
1,0.5,1000,0.17191235059760956,0.18559154778511228,0.24063391770367032,0.15195718621244325,0.12283260616063751
0,0.5,500,0.19150066401062418,0.12837669326241116,0.05508595581435838,0.007988456865474614,0.13649849953495552
1,0.5,1000,0.17357237715803453,0.15194387265993076,0.11609857764813813,0.04748633508334904,0.12499429563916431
0,0.55,500,0.1699203187250996,0.18686932461230255,0.2887642813081284,0.2041577675961685,0.11927188144172785
1,0.55,1000,0.16865869853917662,0.19054541031289463,0.265926988046717,0.1750691599867707,0.12404545106334397
0,0.55,500,0.17616201859229746,0.1793517041801817,0.26448825676165905,0.17804519575860633,0.13004616786204326
1,0.55,1000,0.17270916334661354,0.1971869813356924,0.30022203620911464,0.20486264823771277,0.12280685003118508
0,0.55,500,0.18778220451527225,0.12178236186956683,0.11160716573195167,0.05646013968517999,0.14215706500961411
1,0.55,1000,0.17981407702523242,0.09449687196421439,0.030518016561316585,0.0639402142403026,0.13304974577757445
0,0.55,500,0.18127490039840638,0.1753844378136007,0.3023295084672636,0.22133709117351202,0.12675927252253671
1,0.55,1000,0.17324037184594954,0.19791601620237065,0.32215611551617374,0.2259062485898103,0.12601200376047517
0,0.55,500,0.17861885790172644,0.19663966358483081,0.25163301978916336,0.14884405858163618,0.12946326492921245
1,0.55,1000,0.1696547144754316,0.21398719908330643,0.29020050617208126,0.17897913404784843,0.12673209218343395
0,0.55,500,0.17709163346613546,0.18449907868680088,0.2439725496852247,0.15209313563925647,0.1287070497234316
1,0.55,1000,0.17091633466135459,0.17608555014741473,0.21683412261541346,0.13607166705414164,0.12105224380118262
0,0.55,500,0.17775564409030545,0.1583815610505219,0.21909360674578499,0.14834195964815378,0.12818209808186842
1,0.55,1000,0.17516600265604249,0.19926550499435222,0.3085575480043457,0.20786210386878945,0.13007836302385867
0,0.55,500,0.1801460823373174,0.1917532403928885,0.260649004009796,0.16152448432040423,0.13082366597541684
1,0.55,1000,0.17071713147410358,0.1849179567983454,0.19223417864375547,0.10105212289599702,0.12407961203566276
0,0.55,500,0.18466135458167332,0.1623978322646512,0.1992962922135687,0.11925335203875587,0.13329585321702186
1,0.55,1000,0.17370517928286852,0.17043986273748218,0.19074856247491212,0.11198234256856443,0.12186837610873469
0,0.55,500,0.17377158034528553,0.18183873529701622,0.2581067619600651,0.17136425249807075,0.12680041412807153
1,0.55,1000,0.16978751660026561,0.16980849655795607,0.20044521126803283,0.12311762881350996,0.12421035849342776
0,0.6,500,0.19262948207171315,0.2399977605807694,0.3520603123443297,0.20786381751702654,0.14119480076821467
1,0.6,1000,0.17390438247011952,0.19173534750544965,0.22232974462031085,0.12523227073814253,0.12578914503912375
0,0.6,500,0.1853253652058433,0.20801976064812852,0.36371525314507724,0.25374503541825294,0.13367718033609388
1,0.6,1000,0.1699203187250996,0.2048205043503487,0.30722998465995777,0.20565835223582546,0.12501164692575029
