,C,checkpoint,train error,demographic parity,equal odds,equal_opportunity,overall accuracy
0,0.6,500,0.12301587301587301,0.13095238095238096,0.1510120522371734,0.09745390693590872,0.0714285714285714
1,0.6,1000,0.13645418326693226,0.13346613545816732,0.17824216991446395,0.13292253521126762,0.07768924302788838
0,0.6,500,0.15674603174603174,0.23809523809523808,0.4115179936401813,0.3086544962812711,0.0992063492063493
1,0.6,1000,0.15338645418326693,0.14143426294820718,0.16443688402169904,0.11352201257861633,0.1155378486055777
0,0.6,500,0.13095238095238096,0.17857142857142858,0.26049316512177495,0.20727848101265822,0.10317460317460314
1,0.6,1000,0.13545816733067728,0.16733067729083667,0.17604615425477188,0.11146589259796802,0.09960159362549792
0,0.7,500,0.13293650793650794,0.20238095238095238,0.22569429574911043,0.12483631601920558,0.13095238095238093
1,0.7,1000,0.12649402390438247,0.16932270916334663,0.1692472891018988,0.0926645472742259,0.11752988047808755
0,0.7,500,0.11706349206349206,0.16666666666666669,0.1769515316229291,0.11643835616438358,0.09920634920634919
1,0.7,1000,0.11752988047808766,0.149402390438247,0.1262942170500161,0.08525211308656377,0.095617529880478
0,0.7,500,0.12698412698412698,0.07936507936507936,0.11375909573427112,0.1613445378151261,0.12698412698412698
1,0.7,1000,0.14641434262948208,0.12350597609561755,0.1183880377237303,0.06515659955257275,0.09760956175298807
0,0.7,500,0.12698412698412698,0.19047619047619047,0.22422696203003722,0.1362612612612613,0.12698412698412698
1,0.7,1000,0.12848605577689243,0.20717131474103584,0.21950818291105811,0.1273291925465838,0.1254980079681275
0,0.7,500,0.12698412698412698,0.21031746031746035,0.27128874717595836,0.1913809082483781,0.11904761904761907
1,0.7,1000,0.13047808764940239,0.13346613545816732,0.025130484662019503,0.03552077062010828,0.13745019920318735
0,0.7,500,0.10317460317460317,0.19047619047619047,0.2786067634417322,0.23026315789473684,0.11111111111111105
1,0.7,1000,0.11952191235059761,0.23107569721115534,0.32457049479306604,0.24035446489434215,0.11155378486055767
0,0.7,500,0.12896825396825398,0.12301587301587301,0.004487670919388842,0.02753246753246763,0.11507936507936511
1,0.7,1000,0.15338645418326693,0.16932270916334663,0.2795920971741863,0.2187092568448501,0.09561752988047811
0,0.7,500,0.10317460317460317,0.13095238095238096,0.1501733359597497,0.14295874822190613,0.023809523809523836
1,0.7,1000,0.1205179282868526,0.18725099601593626,0.13893989796193063,0.07825937392500859,0.08565737051792821
0,0.7,500,0.1488095238095238,0.1626984126984127,0.35359848484848494,0.30208333333333337,0.059523809523809534
1,0.7,1000,0.14243027888446216,0.16733067729083664,0.2367812116085844,0.1733870967741935,0.10956175298804782
0,0.7,500,0.09523809523809523,0.12698412698412698,0.04712301587301582,0.0892857142857143,0.10317460317460325
1,0.7,1000,0.10856573705179283,0.1653386454183267,0.17484809384006939,0.13221900782170792,0.06972111553784854
0,0.8,500,0.12301587301587301,0.11904761904761905,0.06441272733407555,0.024774774774774744,0.0793650793650793
1,0.8,1000,0.13645418326693226,0.13745019920318724,0.09371782867397838,0.029456458211572167,0.11752988047808766
0,0.8,500,0.13293650793650794,0.11904761904761905,0.03448316607382229,0.09304029304029304,0.12301587301587302
1,0.8,1000,0.12350597609561753,0.1254980079681275,0.04480225529557569,0.0100040016006403,0.10358565737051784
0,0.8,500,0.1626984126984127,0.16269841269841268,0.19010441083656016,0.08494208494208494,0.13492063492063489
1,0.8,1000,0.14741035856573706,0.15737051792828682,0.17456516992151472,0.1004638414505587,0.11952191235059761
0,0.8,500,0.12698412698412698,0.15476190476190477,0.168574638438365,0.09909456740442657,0.11111111111111116
1,0.8,1000,0.12749003984063745,0.1593625498007968,0.18880613518252332,0.12604846225535882,0.10358565737051784
0,0.8,500,0.10714285714285714,0.2261904761904762,0.20682874036532561,0.14664502164502158,0.11111111111111105
1,0.8,1000,0.11752988047808766,0.22509960159362546,0.2966724916865738,0.22793928479547215,0.10358565737051784
0,0.8,500,0.1130952380952381,0.23412698412698416,0.22246386262979123,0.1252771618625278,0.13095238095238093
1,0.8,1000,0.11852589641434264,0.17928286852589642,0.17028963498648864,0.09945578231292518,0.1055776892430278
0,0.8,500,0.13690476190476192,0.12301587301587302,0.12325084323980817,0.09963250306247445,0.09126984126984128
1,0.8,1000,0.13545816733067728,0.19322709163346613,0.3126547714336986,0.2506326201978376,0.095617529880478
0,0.8,500,0.12698412698412698,0.2698412698412698,0.510243741765481,0.4058441558441559,0.11111111111111116
1,0.8,1000,0.1344621513944223,0.2231075697211155,0.31992823713814234,0.2283275540144038,0.1254980079681275
0,0.8,500,0.13690476190476192,0.2698412698412699,0.3679067551785605,0.2762626262626263,0.14682539682539686
1,0.8,1000,0.14741035856573706,0.20517928286852588,0.20623830346944194,0.11932203389830504,0.15139442231075695
0,0.8,500,0.09722222222222222,0.2222222222222222,0.28993378210287546,0.22890295358649787,0.12301587301587302
1,0.8,1000,0.12250996015936255,0.20717131474103587,0.31993226321292473,0.24155844155844153,0.13346613545816743
0,0.9,500,0.1111111111111111,0.18650793650793654,0.18793819794770994,0.12953586497890301,0.07936507936507942
1,0.9,1000,0.12450199203187251,0.17529880478087648,0.10537477143943941,0.044096133751306166,0.10956175298804771
0,0.9,500,0.12103174603174603,0.2063492063492064,0.28095617795431294,0.22790697674418603,0.09920634920634919
1,0.9,1000,0.12649402390438247,0.17729083665338646,0.16656555499692766,0.10565052231718902,0.11752988047808755
0,0.9,500,0.09325396825396826,0.26587301587301587,0.21253176900607773,0.1491990846681922,0.09126984126984117
1,0.9,1000,0.12450199203187251,0.2310756972111554,0.30262540436708807,0.21869328493647916,0.09760956175298796
0,0.9,500,0.14285714285714285,0.17063492063492064,0.19421406339827396,0.14434643143544507,0.11111111111111105
1,0.9,1000,0.1394422310756972,0.2231075697211155,0.3783268466977321,0.2967409948542024,0.09960159362549803
0,0.9,500,0.13293650793650794,0.21428571428571427,0.12697360768020594,0.029818496110631032,0.15476190476190477
1,0.9,1000,0.1294820717131474,0.19123505976095617,0.20372679053897064,0.13333333333333336,0.11553784860557759
0,0.9,500,0.12301587301587301,0.21031746031746035,0.19450307570094405,0.10283993115318413,0.12698412698412698
1,0.9,1000,0.11553784860557768,0.16135458167330677,0.19446093917693447,0.159376571141277,0.07968127490039834
0,0.9,500,0.11507936507936507,0.15873015873015872,0.2087288634446708,0.19605695509309967,0.04761904761904756
1,0.9,1000,0.12151394422310757,0.1653386454183267,0.2004388703935438,0.16093117408906882,0.07569721115537842
0,0.9,500,0.13095238095238096,0.14682539682539683,0.23310876364794814,0.21856060606060612,0.04761904761904767
1,0.9,1000,0.14940239043824702,0.15338645418326693,0.1607240933646742,0.09718201119475,0.10358565737051795
0,0.9,500,0.13690476190476192,0.1468253968253968,0.054678073642604574,0.01315789473684209,0.15476190476190477
1,0.9,1000,0.14342629482071714,0.199203187250996,0.2575540382763647,0.1718608852755194,0.12749003984063745
0,0.9,500,0.14682539682539683,0.1904761904761905,0.16467391304347834,0.08074534161490687,0.10317460317460314
1,0.9,1000,0.15637450199203187,0.1693227091633466,0.08469258087016907,0.019304674233622365,0.16135458167330674
0,1.0,500,0.14087301587301587,0.09126984126984126,0.03511683329458265,0.011029411764705899,0.115079365079365
1,1.0,1000,0.13844621513944222,0.14342629482071712,0.15642476869489325,0.08592454394693205,0.1055776892430279
0,1.0,500,0.125,0.1746031746031746,0.2965713137268039,0.24181818181818188,0.1071428571428572
1,1.0,1000,0.12151394422310757,0.20119521912350596,0.19648959778219632,0.11594398060867228,0.12350597609561753
0,1.0,500,0.12698412698412698,0.20634920634920634,0.4846371707388657,0.4228571428571428,0.08730158730158721
1,1.0,1000,0.12848605577689243,0.16334661354581673,0.24335543905713275,0.1826674331704513,0.10159362549800788
0,1.0,500,0.13293650793650794,0.11111111111111112,0.009888988410339028,0.059588299024918745,0.13095238095238093
1,1.0,1000,0.11952191235059761,0.15537848605577692,0.09686949454025895,0.04504810413129601,0.10358565737051784
0,1.0,500,0.125,0.14682539682539683,0.04217520776096717,0.008442776735459678,0.1071428571428572
1,1.0,1000,0.14043824701195218,0.1593625498007968,0.15880957078369323,0.09706959706959711,0.1294820717131474
0,1.0,500,0.13690476190476192,0.18253968253968256,0.18255329427056177,0.11136712749615973,0.115079365079365
1,1.0,1000,0.11852589641434264,0.17729083665338646,0.2037942729759038,0.1584712755598831,0.08565737051792821
0,1.0,500,0.12698412698412698,0.2698412698412698,0.3092272256999621,0.20430107526881724,0.09523809523809523
1,1.0,1000,0.13745019920318724,0.21115537848605578,0.2834663859220615,0.20259740259740266,0.08764940239043817
0,1.0,500,0.12896825396825398,0.0992063492063492,0.04379466893568429,0.007459207459207473,0.09920634920634919
1,1.0,1000,0.13247011952191234,0.1892430278884462,0.31718286031100296,0.24537498615265313,0.09362549800796804
0,1.0,500,0.10912698412698413,0.1785714285714286,0.2417595307917889,0.18701298701298708,0.05952380952380942
1,1.0,1000,0.13346613545816732,0.18127490039840635,0.1634089527410969,0.08293075684380036,0.10358565737051784
0,1.0,500,0.12301587301587301,0.2023809523809524,0.3064917968366245,0.2336182336182337,0.09523809523809523
1,1.0,1000,0.11055776892430279,0.16334661354581675,0.13020041266727866,0.07058964525407474,0.10159362549800799
