,p,checkpoint,train_error,demographic parity,equal odds,equal_opportunity,overall accuracy
1,0.4,1000,0.2633333333333333,0.07333333333333336,0.1466666666666666,0.06666666666666665,0.00666666666666671
0,0.4,500,0.26,0.12000000000000002,0.24000000000000005,0.14666666666666667,0.026666666666666616
1,0.4,1000,0.25,0.09999999999999998,0.19999999999999996,0.09333333333333327,0.006666666666666599
0,0.4,500,0.3,0.10666666666666669,0.21333333333333337,0.12,0.013333333333333308
1,0.4,1000,0.28,0.04000000000000001,0.08000000000000002,0.026666666666666672,0.013333333333333308
0,0.4,500,0.31666666666666665,0.08666666666666667,0.17333333333333334,0.10666666666666663,0.020000000000000018
1,0.4,1000,0.30666666666666664,0.1466666666666667,0.2933333333333334,0.20000000000000007,0.053333333333333344
0,0.4,500,0.34,0.09333333333333332,0.1866666666666667,0.14666666666666667,0.053333333333333344
1,0.4,1000,0.2833333333333333,0.12666666666666665,0.2533333333333333,0.21333333333333332,0.08666666666666667
0,0.4,500,0.3566666666666667,0.12666666666666665,0.25333333333333335,0.21333333333333335,0.08666666666666667
1,0.4,1000,0.32666666666666666,0.06666666666666668,0.1333333333333333,0.12,0.053333333333333344
0,0.4,500,0.30666666666666664,0.28,0.56,0.32000000000000006,0.040000000000000036
1,0.4,1000,0.31,0.20666666666666667,0.4133333333333334,0.26666666666666666,0.05999999999999994
0,0.4,500,0.32,0.04000000000000001,0.0799999999999999,0.013333333333333308,0.026666666666666727
1,0.4,1000,0.31666666666666665,0.07333333333333333,0.14666666666666672,0.09333333333333332,0.020000000000000018
0,0.4,500,0.27666666666666667,0.22,0.44,0.3066666666666667,0.08666666666666667
1,0.4,1000,0.25333333333333335,0.21333333333333332,0.42666666666666664,0.31999999999999995,0.10666666666666669
0,0.5,500,0.31666666666666665,0.07333333333333336,0.14666666666666672,0.013333333333333364,0.06000000000000005
1,0.5,1000,0.3233333333333333,0.07333333333333333,0.14666666666666667,0.053333333333333344,0.020000000000000018
0,0.5,500,0.30333333333333334,0.26,0.52,0.3866666666666667,0.1266666666666667
1,0.5,1000,0.31333333333333335,0.17333333333333334,0.3466666666666667,0.2666666666666666,0.09333333333333327
0,0.5,500,0.34,0.11999999999999997,0.24,0.14666666666666667,0.026666666666666727
1,0.5,1000,0.3333333333333333,0.08000000000000002,0.16000000000000003,0.053333333333333344,0.026666666666666727
0,0.5,500,0.30333333333333334,0.20666666666666664,0.4133333333333334,0.28,0.07333333333333325
1,0.5,1000,0.2966666666666667,0.2333333333333333,0.4666666666666666,0.32,0.08666666666666667
0,0.5,500,0.3433333333333333,0.12666666666666668,0.25333333333333335,0.19999999999999996,0.07333333333333336
1,0.5,1000,0.32666666666666666,0.1333333333333333,0.26666666666666666,0.16000000000000003,0.026666666666666616
0,0.5,500,0.33666666666666667,0.01999999999999999,0.03999999999999998,0.08000000000000002,0.06000000000000005
1,0.5,1000,0.30333333333333334,0.04666666666666666,0.09333333333333332,0.053333333333333344,0.006666666666666599
0,0.5,500,0.33666666666666667,0.04666666666666666,0.09333333333333332,0.0,0.046666666666666634
1,0.5,1000,0.33,0.006666666666666654,0.013333333333333364,0.053333333333333344,0.046666666666666745
0,0.5,500,0.27666666666666667,0.19333333333333336,0.3866666666666667,0.28,0.08666666666666667
1,0.5,1000,0.2633333333333333,0.16666666666666666,0.3333333333333333,0.21333333333333332,0.046666666666666634
0,0.5,500,0.3,0.07999999999999999,0.1600000000000001,0.09333333333333338,0.013333333333333308
1,0.5,1000,0.27666666666666667,0.12666666666666668,0.2533333333333333,0.17333333333333328,0.046666666666666745
0,0.5,500,0.3233333333333333,0.22000000000000003,0.44000000000000006,0.26666666666666666,0.046666666666666634
1,0.5,1000,0.3,0.18666666666666668,0.37333333333333324,0.2666666666666666,0.07999999999999996
0,0.6,500,0.27666666666666667,0.17999999999999997,0.35999999999999993,0.30666666666666664,0.1266666666666666
1,0.6,1000,0.25,0.12666666666666665,0.2533333333333333,0.2,0.07333333333333325
0,0.6,500,0.26666666666666666,0.013333333333333364,0.026666666666666727,0.026666666666666672,0.013333333333333308
1,0.6,1000,0.23333333333333334,0.09333333333333332,0.18666666666666665,0.16000000000000003,0.06666666666666676
0,0.6,500,0.24333333333333335,0.11333333333333331,0.22666666666666663,0.18666666666666665,0.07333333333333336
