,C,checkpoint,train error,demographic parity,equal odds,equal_opportunity,overall accuracy
1,0.1,1000,0.17317397078353253,0.18158761303485615,0.22258741601883114,0.13223081013862836,0.13104903210812457
0,0.15,500,0.17549800796812748,0.22569656940591865,0.37066936314981686,0.2503828575769814,0.130873212423818
1,0.15,1000,0.17151394422310756,0.2266235894732934,0.3425002968661755,0.22272628867775474,0.12707478510832748
0,0.15,500,0.1798804780876494,0.20681247216898763,0.4361843447613933,0.3402842713938986,0.11834574398315056
1,0.15,1000,0.17649402390438246,0.21086487016593908,0.3722536876851252,0.26779009636986467,0.12359078717692185
0,0.15,500,0.17237715803452855,0.19178740136520728,0.24995442239070298,0.15547987577192712,0.12473083691313114
1,0.15,1000,0.16845949535192564,0.2079710968085247,0.2760912492993659,0.17147963814603828,0.12254142549464864
0,0.15,500,0.17749003984063744,0.17595731110100615,0.23050578319443232,0.14547959587604836,0.12778789289807024
1,0.15,1000,0.1705843293492696,0.1919077771696024,0.2534314352570129,0.1581840126901365,0.12811181032672758
0,0.15,500,0.17516600265604249,0.1366916705058478,0.08212317748044717,0.025873803516520466,0.12101557541750751
1,0.15,1000,0.16772908366533865,0.1653963953574697,0.16152008840028576,0.08889321743739903,0.11843643203708665
0,0.15,500,0.18572377158034528,0.26385612064427794,0.41673051575679276,0.25999756661950324,0.13698732439369643
1,0.15,1000,0.1750332005312085,0.2226513082839997,0.32479850226241513,0.20495461402643933,0.12988126043195958
0,0.15,500,0.17084993359893758,0.14109787427482406,0.1353113905837588,0.07877869432571083,0.12367252878713841
1,0.15,1000,0.1703851261620186,0.16595909858441382,0.21914686706012637,0.14636555201465057,0.12358685555591509
0,0.15,500,0.17569721115537848,0.11095941160964758,0.02200150875789475,0.018397156257872083,0.12693956542870288
1,0.15,1000,0.1700531208499336,0.14067093232835753,0.11061812779479363,0.05414442970072275,0.12158363447510889
0,0.15,500,0.1792164674634794,0.15155040966989408,0.24873065589703486,0.18438398058779276,0.13004813367254664
1,0.15,1000,0.16766268260292164,0.17819091313723276,0.29123798179688304,0.21588369126684875,0.11743160198050195
0,0.15,500,0.18227091633466136,0.14034023485939268,0.17301423497202573,0.11100270699299863,0.13397730744580216
1,0.15,1000,0.17211155378486057,0.16229731515819829,0.20191804068818853,0.1312757368544616,0.122221981287851
0,0.2,500,0.18320053120849933,0.18834813565239866,0.30980703061922243,0.21358797384515815,0.13535702558909568
1,0.2,1000,0.17324037184594954,0.18338085345903715,0.23439677275302162,0.14407097702511806,0.12903293296259222
0,0.2,500,0.17961487383798141,0.21129716794306275,0.3389792085350106,0.22767930329917274,0.13124362728866734
1,0.2,1000,0.17071713147410358,0.20128356995038799,0.3131198594499072,0.21511197834405604,0.12407961203566276
0,0.2,500,0.17868525896414342,0.164361877550426,0.16654563217665597,0.08568812401786541,0.13137437374643224
1,0.2,1000,0.1703851261620186,0.17816353220522152,0.2079203367017045,0.12427719745397575,0.12268057679527988
0,0.2,500,0.17622841965471447,0.20206140907170594,0.22865189474433578,0.12121033832557149,0.1280300687165108
1,0.2,1000,0.17549800796812748,0.1770943118250061,0.2099755751790161,0.1250951788791712,0.12392507525894891
0,0.2,500,0.17961487383798141,0.1674629235602008,0.13807777958714695,0.054804755488101375,0.12610804764506833
